Crop,Variety,Season/ duration in days,Recommended Zone
Paddy,CR,160.0,"Boro Area of Orissa, West Bengal and Assam."
Paddy,CR,152.0,Semi deep water condition of Uttar Pradesh and Assam.
Wheat,MPO(JW),120.0,"Madhya Pradesh, Chhattisgarh, Gujarat and Rajasthan (Kota and Udaipur Division only) under timely sown irrigated condition."
Wheat,MACS,108.0,"Maharashtra, Karnataka, Andhra Pradesh and Tamil Nadu under timely sown irrigated condition."
Wheat,PDW,169.0,"Punjab, Haryana, Western Uttar Pradesh, Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand, Paonta Valley & Una District of Himachal Pradesh under timely sown irrigated conditions."
Wheat,DBW39,123.0,"Eastern Uttar Pradesh, Bihar, Jharkhand, West Bengal, Assam and Orissa under timely sown irrigated condition."
Barley,BH-902,130.0,"Punjab, Haryana, Western Uttar Pradesh (Excluding Jhansi Division), Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand & Jammu and Kathua District of J & K under timely sown irrigated conditions."
Barley,Pusa,190.0,"Himachal Pradesh, Uttarakhand, Jammu & Kashmir and North Eastern States under timely sown rainfed conditions."
Maize,HQPM-4,95.0,"Punjab, Haryana, Delhi, West and Central UP, Bihar, Jharkhand, Orissa, Eastern UP, Andhra Pradesh, Karnataka, Tamilnadu, Maharashtra, Rajasthan, Madhya Pradesh, Gujarat and Chhattisgarh under Kharif Season."
Maize,MCH,99.0,"Karnataka, Tamil Nadu and Maharashtra in Kharif season under irrigated and rainfed conditions."
Pearl Millet,Nandi-65,80.0,"Rajasthan, Gujarat, Haryana, MP, UP, Punjab and Delhi in Kharif season."
Pearl Millet,Nandi-61,81.0,"Rajasthan, Gujarat, Haryana, Punjab and Delhi in Kharif season."
Finger Millet,GPU,119.0,"Chhattisgarh, Jharkhand, Karnataka, Maharashtra, Tamil Nadu and Uttarakhand in Kharif  season."
Indian Mustard,DRMR,144.0,"Rajasthan, Haryana, Punjab, Delhi and Jammu & Kashmir under timely sown irrigated condition."
Indian Mustard,CORAL,130.0,"Uttar Pradesh, Madhya Pradesh, Rajasthan and Uttarakhand under timely sown irrigated condition"
Linseed,JLS-67,114.0,"Bundelkhand part of Uttar Pradesh, Madhya Pradesh and Rajasthan under rainfed condition."
Linseed,Ruchi,134.0,"Uttar Pradesh (except Bundelkhand), Bihar, Assam, West Bengal and Jharkhand under timely sown irrigated condition."
Groundnut,Girnar,108.0,"West Bengal, Orissa and Manipur under Kharif rainfed condition."
Groundnut,Kadiri,122.0,Karnataka and Maharashtra under timely sown irrigated condition in Rabi and Summer season.
Bengal Gram,PKV,110.0,"Maharashtra, Madhya Pradesh under irrigated conditions. "
Lentil,Pant,135.0,"Punjab, Haryana, Plains of Uttarakhand, Western Uttar Pradesh, Delhi and Rajasthan as a pure crop in Rabi season."
Lentil,Pant,147.0,"Punjab, Haryana and Uttar Pradesh under in Rabi season."
Fieldpea,Aman,137.0,"Punjab, Haryana, Plains of Uttarakhand, Western Uttar Pradesh, Delhi and parts of Rajasthan during Rabi season."
Fieldpea,GOMATI,140.0,"Uttarakhand Hills, Jammu & Kashmir and North Eastern States under normal sown Rabi season as pure crop. "
French Bean,Gujarat,108.0,"Gujarat, Southern Part of Rajasthan, Maharashtra and Madhya Pradesh."
Cluster Bean,HG,110.0,"Uttar Pradesh, Madhya Pradesh, Haryana, Gujarat and Rajasthan under timely sowing, normal fertility and rainfed conditions. "
Cluster Bean,HG,100.0,"Uttar Pradesh, Haryana, Gujarat and Rajasthan under timely sowing, normal fertility and rainfed conditions"
Horse Gram,CRIDALATHA,110.0,South India under rainfed conditions.
Sugarcane,Co-0218,360.0,"Tamil Nadu, Karnataka, Maharashtra, Kerala, Interior Andhra Pradesh."
Oat,Narendra,120.0,Oat growing areas of India for single cut system under both normal and salt affected soil in Rabi Season.
Oat,OS,90.0,"Madhya Pradesh, Gujarat and Maharashtra under timely sown irrigated condition suitable for single cut system."
Cotton,CNH012,165.0,"Gujarat, Maharashtra and Madhya Pradesh."
Cotton,CICR-3,150.0,"Punjab, Haryana and Uttar Pradesh under wilt free area."
